Prenom,Note,Pays,Titre,Positif,Négatif,Date séjour,Date commentaire,hotel
Kathryn,10.0,États-Unis,,"J'ai adoré cet hôtel ! C'était notre première fois à Disneyland Paris, et nous avons adoré notre séjour ici et l'expérience de DLP. L'hôtel est exceptionnel ! J'ai séjourné dans de nombreux hôtels WDW et celui-ci est l'un de mes préférés en ce qui concerne la chambre et les détails thématiques et amusants de tous les aspects de l'hôtel. L'emplacement des parcs et du quartier commerçant et des restaurants (c'est comme un mini-Disney Springs que vous traversez pour vous rendre à l'entrée des deux parcs) était fantastique. Nous avions une chambre au premier étage (étage Spiderman - chaque étage avait un thème de super-héros différent!), Nous avons donc pu sortir de notre terrasse pour aller dans les parcs. L'attention INCROYABLE aux détails thématiques de Marvel m'a tout simplement époustouflé ! Une vitrine de 3 combinaisons Iron Man pleine grandeur et une autre de 3 boucliers Capt. America !!!! WOW!! Ils diffusent même un parfum parfumé subtil et agréable dans les halls qui vous accueillent à l'entrée (dont vous pouvez acheter une bouteille dans la boutique de cadeaux bien sûr !). Les chambres étaient exceptionnellement grandes, surtout par rapport à la plupart des chambres d'hôtel en Europe. Nous étions un groupe de 4 adultes et nous ne nous sommes pas sentis à l'étroit. Nous avons utilisé la piscine intérieure - c'était agréable - mais elle ferme à 10h00, ce qui est tôt si vous êtes parti toute la journée. Il y a aussi une salle d'activités pour enfants qui semblait amusante pour les tout-petits. Le bar a pour thème que vous êtes au sommet du gratte-ciel Avenger's NYC ! Nous avons dîné dans la salle à manger principale. C'était un bon buffet de dégustation, une bonne variété et il était présenté avec un super flair Disney / Marvel. Des légumes, des pommes de terre et quelques plats principaux ont été découpés dans des oreilles de mickey, ce qui était amusant, les boissons étaient toutes sur le thème des héros Marvel et le bar du désert! ! ! oh mon Dieu - c'était le point culminant !!! Tant de différents types de beaux déserts sur le thème de Marvel - c'était difficile de choisir. Ils ont BEAUCOUP besoin de construire un deuxième hôtel comme celui-ci en Floride pour que je puisse y retourner ! Cet hôtel est trop génial pour ne l'avoir qu'à un seul endroit.","La principale différence entre cet hôtel et ceux de la Floride est qu'il n'offrait pas de salle de restauration de style cafétéria pour un type de restaurant en libre-service plus rapide et moins cher. Si vous restiez plusieurs jours dans cet hôtel, je pense que vous voudriez le plus rapide, le plus facile, le moins cher, le plus d'options de restauration et le type de restaurant de style cafétéria plus décontracté, comme dans la plupart des hôtels de Disney World. Vous ne voulez pas toujours un restaurant avec service assis / serveur, surtout si vous voyagez avec des enfants. Le seul autre petit inconvénient, c'est que même si c'était génial d'avoir une piscine intérieure, les heures doivent être un peu plus longues. Les bains à remous fermaient à 9h45 et la piscine à 10h00. Si vous êtes dans le parc jusqu'à la fermeture, puis dînez ou faites du shopping au moment où vous revenez à l'hôtel, cela vous laisse peu de temps pour vous préparer et descendre pour profiter de la piscine / du bain à remous après une longue journée. Nous sommes arrivés là-bas à 9h30 et nous nous sommes installés dans le bain à remous et après seulement 10 minutes, ils nous ont mis à la porte! dommage",Mars 2022,Commentaire envoyé le 4 avril 2022,newYork
Galina,10.0,États-Unis,,"marche facile / courte de toutes les attractions et de la gare. très propre, très sympathique. Le buffet du petit-déjeuner est au top. adoré chaque minute de notre séjour.",,Avril 2022,Commentaire envoyé le 4 avril 2022,newYork
Rashad,10.0,Israël,,je suis venu parce que Spiderman pour mon enfant,,Mars 2022,Commentaire envoyé le 4 avril 2022,newYork
Khadijdra,10.0,États-Unis,,Le petit déjeuner était incroyable. Le personnel était tellement adorable.,Que je devais partir.,Mars 2022,Commentaire envoyé le 31 mars 2022,newYork
Lucy,10.0,Royaume-Uni,,Tout!!,Buffet et petit déjeuner au Downtown à peu cher !,Mars 2022,Commentaire envoyé le 28 mars 2022,newYork
Nuno,10.0,Portugal,,tout parfait.,,Février 2022,Commentaire envoyé le 27 mars 2022,newYork
Natalie,9.0,Royaume-Uni,,"le thème est magnifique, j'adore l'art autour de l'hôtel, les installations modernes, le lit confortable, les chambres spacieuses, les restaurants excellents et le bar Skyline ! En tant que fans de merveilles, nous apprécions vraiment tout le concept et nous adorons New York ! 5 min à pied des parcs le meilleur hôtel ici à notre avis?","la seule chose à l'avenir serait le prix, coûtant un futur voyage, les prix semblent plus chers.",Mars 2022,Commentaire envoyé le 24 mars 2022,newYork
Mandy,10.0,Royaume-Uni,,c'était fabuleux,,Mars 2022,Commentaire envoyé le 24 mars 2022,newYork
Vaggelis,9.0,Pays-Bas,,"Grande chambre, spacieuse, propre et joliment décorée. Bien sûr, c'est un nouvel hôtel et je ne m'attendrais à rien d'autre mais c'est toujours très beau et a l'ambiance de la bande dessinée. Le personnel serviable, le concierge vous sert immédiatement, et en général tout le monde était très poli (attendez-vous aux femmes de ménage, mais bon ce travail est pas drôle). Boutique et station de héros incroyables pour les grands et les jeunes enfants :)","juste le prix ! Cela pourrait être 10 à 20% moins cher. Aussi plus de personnel parlant anglais, certains d'entre eux avaient vraiment du mal. incroyable de nos jours..",Mars 2022,Commentaire envoyé le 20 mars 2022,newYork
Veronika,10.0,Royaume-Uni,,"Hôtel incroyable, les enfants ont adoré. Belles chambres propres, très bonne nourriture et littéralement à la porte des deux parcs. tout ce dont vous avez besoin",il n'y a rien dont je puisse me plaindre,Février 2022,Commentaire envoyé le 20 mars 2022,newYork
Mohamed,10.0,Arabie saoudite,,tout était parfait et le personnel qui y travaille est très serviable et sympathique.,rien,Mars 2022,Commentaire envoyé le 18 mars 2022,newYork
Rachel,10.0,Irlande,,c'est tellement moderne et propre et spacieux à cinq minutes à pied du parc! le petit déjeuner était délicieux,la nourriture est au buffet du restaurant était dégoûtante ! et très cher !,Mars 2022,Commentaire envoyé le 10 mars 2022,newYork
Dawn,10.0,Irlande,,Le personnel est excellent l'hôtel est tout simplement fantastique,,Mars 2022,Commentaire envoyé le 7 mars 2022,newYork
Tamir,8.0,Belgique,,"Avantages du club Empire, magnifiquement rénové","Lors de l'enregistrement, le personnel n'a pas été informé de la célébration de l'anniversaire, mais a réussi à réparer quelque chose de petit à la dernière minute.",Février 2022,Commentaire envoyé le 7 mars 2022,newYork
Steven,10.0,Belgique,,Tout!,,Mars 2022,Commentaire envoyé le 4 mars 2022,newYork
Amani,10.0,Koweït,,"J'ai adoré le thème, la propreté","Room service ils ne répondent pas au téléphone, et pas d'eau complémentaire. Il a également besoin d'une petite épicerie à proximité pour les urgences.",Mars 2022,Commentaire envoyé le 4 mars 2022,newYork
Saskia,10.0,Belgique,,"le confort, le design, l'emplacement",le prix est malheureusement trop élevé pour toujours revenir à chaque fois que nous visitons Disneyland,Mars 2022,Commentaire envoyé le 3 mars 2022,newYork
Sophie,9.0,Royaume-Uni,,L'emplacement était incroyable !!! Personnel sympathique et juste parfait pour mon petit super-héros,"Que la femme de ménage n'ait pas mis de nouveaux bacs vides de papier toilette, etc., elle ferait simplement le lit sans même le changer",Février 2022,Commentaire envoyé le 28 février 2022,newYork
Holly,10.0,Royaume-Uni,,"La propriété était fantastique. service incroyable. Nous avons utilisé le service de voiturier qui était génial. Malheureusement, nous avons eu un pneu crevé et le concierge était incroyable et a réussi à nous trouver quelque part pour un nouveau pneu.",,Février 2022,Commentaire envoyé le 23 février 2022,newYork
Elodie,9.0,Espagne,,La décoration de l'hôtel est absolument incroyable. Les œuvres d'art Marvel éparpillées sont magnifiques et cela vaut vraiment la peine de parcourir les couloirs. Le personnel était exceptionnel - très serviable et gentil.,"La chambre était équipée de deux lits doubles, ce qui laissait peu d'espace pour se déplacer dans la chambre. Pas de pantoufles / peignoir fournis (ce à quoi nous nous attendions compte tenu des équipements de la piscine / du sauna et des normes de l'hôtel en général)",Janvier 2022,Commentaire envoyé le 1 février 2022,newYork
Shauna,10.0,Malte,,Décor et ambiance incroyables! Le personnel amical et les chambres sont spacieuses et modernes?,,Janvier 2022,Commentaire envoyé le 24 janvier 2022,newYork
Kelgo90,9.0,Royaume-Uni,,"Le thème est de qualité supérieure avec un clin d'œil à l'émerveillement, aux gris, aux argents et aux noirs avec une touche de couleur de l'œuvre d'art. Une galerie pour parcourir chaque étage et zone de l'hôtel si vous avez le temps, vous ne verrez pas deux fois la même pièce. Le restaurant du centre-ville était très familial avec une sélection de plats excellents mais toujours à un niveau élevé. Les boulettes de viande en particulier fondaient dans la bouche à la perfection! Je recommande vraiment un repas là-bas, parlez directement au concierge par e-mail. La chambre était premium avec une bonne sensation de modernité et de merveille. Smart TV et haut-parleurs que le lien via votre téléphone pour diffuser la télévision numérique et les haut-parleurs dans la salle de bain est un avantage moderne et cool. Il n'y a pas deux pièces identiques avec les œuvres d'art sur le mur. Les installations de café dans la chambre sont un bonus, car d'autres hôtels Disney proposent des machines à café à chaque étage avec 1 boisson par nuit chargée sur votre magicpass. Offrir 4 expressos, du thé et du lait dans la chambre en standard était un bon geste de Disney. Des machines à glace sont également disponibles à 3 emplacements à chaque étage. C'est le plus proche de tous les hôtels à part l'hôtel Disneyland, littéralement à 30 secondes à pied du village de Disney à la réception, donc c'est vraiment un avantage. Il y a des acteurs partout et rien n'est un problème. La norme de service à la clientèle est très élevée. Le magasin de marchandises est petit, alors ne vous excitez pas trop, mais il abrite des œuvres d'art, des jouets et un réfrigérateur de boissons fraîches. Une promenade rapide jusqu'au village de disney ou de l'autre côté de l'eau jusqu'à la baie de newport vous fournira des collations et plus de produits.","Le prix que j'ai payé environ 220 £ pour la nuit était suffisant comme gâterie spéciale. Faire payer plus de 500 £ par nuit en moyenne aux heures de pointe est fou pour moi. Consultez le calendrier annuel pour obtenir le meilleur tarif et planifiez votre séjour autour de l'hôtel si vous le pouvez plutôt que de réserver des vols en premier. Janvier est de loin la période la plus abordable. Donc, si vous êtes indécis sur votre séjour, tout dépend de votre budget, si vous pouvez l'obtenir à un prix abordable, c'est-à-dire ce que j'ai payé, faites-vous plaisir si le budget le permet, mais je ne paierais pas plus que ce que j'ai fait. Les réservations de restaurant d'hôtel sont difficiles à obtenir si vous n'êtes pas un client, ce qui n'est pas un inconvénient car cela vous fait vous sentir privilégié lorsque vous pouvez en obtenir un. Contactez directement le concierge pour l'un ou l'autre des restaurants, mais les deux salons sont disponibles sans réservation pour les non-clients. (Juste pour mentionner que les détenteurs de laissez-passer annuels bénéficient d'une réduction dans les restaurants et non au bar et au salon.) L'enregistrement a été un peu chaotique, peut-être l'heure de la journée, vers 11h, mais même lorsque nous sommes revenus à 15h pour notre chambre, c'était toujours invité lourd. la réception principale est assez petite pour recevoir un grand nombre d'invités, je planifierais donc votre heure d'enregistrement.",Janvier 2022,Commentaire envoyé le 22 janvier 2022,newYork
Isabelle,10.0,États-Unis,,,Nous avions une chambre communicante et nous avons pu entendre les invités parler de l'autre pièce même les portes communicantes étaient fermées.,Janvier 2022,Commentaire envoyé le 7 janvier 2022,newYork
Glenn,10.0,Royaume-Uni,,"Pour les fans de Marvel un régal, et à quelques pas de Disney,",,Octobre 2021,Commentaire envoyé le 28 décembre 2021,newYork
Basel,10.0,Arabie saoudite,,"Excellent, nous tenons à remercier la dame du disque avant (Ezie) qui a vraiment rendu notre séjour magique.","seulement Spiderman, ils devraient apporter / créer plus d'Avengers",Novembre 2021,Commentaire envoyé le 14 décembre 2021,newYork
Oroliss,9.0,France,,"tout était super pour être honnête, le personnel est gentil et toujours disponible. ils vous accueillent toujours avec le sourire.",rien,Décembre 2021,Commentaire envoyé le 11 décembre 2021,newYork
Graham,7.0,Espagne,,À quelle distance se trouve Disney Village.,"La propreté générale de la chambre : bouteilles d'eau à moitié vides à notre entrée dans la chambre, le lendemain la femme de ménage a laissé sa bouteille de jus dans la chambre. Pas de recharge de savon, le robinet d'eau chaude de la baignoire est resté dans ma main.",Décembre 2021,Commentaire envoyé le 8 décembre 2021,newYork
Marian,9.0,Irlande,,"En tant que fan de merveilles, j'étais dans mon élément avec toutes leurs œuvres d'art et leurs accessoires.",Les oreillers. Les pires oreillers sur lesquels j'ai jamais dormi.,Décembre 2021,Commentaire envoyé le 2 décembre 2021,newYork
Tehila,8.0,Israël,,Impeccablement propre et confortable,Une certaine confusion à propos de notre chambre. Pas assez d'informations sur le parc,Novembre 2021,Commentaire envoyé le 1 décembre 2021,newYork
Chris,9.0,Allemagne,,Juste au village de Disney et au parc.,Tout est cher mais je suppose qu'il faut s'y attendre pour Disney. .,Novembre 2021,Commentaire envoyé le 29 novembre 2021,newYork
Charlie,9.0,Royaume-Uni,,"Emplacement fantastique juste à côté du Disney Village, parfait pour tout amateur de Marvel ou de Disney, mais superbe pour ceux qui ne le font pas aussi car il est décoré avec goût et magnifique. Les chambres étaient spacieuses, les équipements étaient fantastiques et le personnel était exceptionnel. Nous avons séjourné à Noël et il y avait un arbre de Noël dans notre chambre et une décoration dans tout l'hôtel.",C'est assez cher par rapport à d'autres propriétés de la région. Le lit était également assez dur.,Novembre 2021,Commentaire envoyé le 16 novembre 2021,newYork
Philippe,9.0,Suisse,,La chambre au rez-de-chaussée était très pratique compte tenu de la situation sanitaire.,Rien,Novembre 2021,Commentaire envoyé le 11 novembre 2021,newYork
Salson,8.0,Égypte,,"l'emplacement est génial, le concierge est incroyable,",la chambre est trop petite pour nous (4 personnes),Octobre 2021,Commentaire envoyé le 11 novembre 2021,newYork
Rayna,10.0,États-Unis,,tout,rien tout était incroyable,Octobre 2021,Commentaire envoyé le 15 octobre 2021,newYork
Helen,8.0,Royaume-Uni,,,Chambre très bruyante près des ascenseurs et mauvaise insonorisation,Octobre 2021,Commentaire envoyé le 15 octobre 2021,newYork
Dora,9.0,Allemagne,,La chambre était spacieuse et propre La décoration dans tout l'hôtel était excellente et bien faite pour le thème Marvel Accès facile aux parcs Disney,Difficile d'obtenir une réservation pour le dîner,Septembre 2021,Commentaire envoyé le 10 octobre 2021,newYork
Nuno,10.0,Portugal,,Tout parfait.,Tout bon.,Octobre 2021,Commentaire envoyé le 4 octobre 2021,newYork
Paul,9.0,Roumanie,,"La conception, les installations et le fait qu'il soit propre",Trop cher pour ce qu'il offre,Septembre 2021,Commentaire envoyé le 2 octobre 2021,newYork
Inbar,9.0,Israël,,Tout,Tout était parfait,Septembre 2021,Commentaire envoyé le 27 septembre 2021,newYork
Alexandria,10.0,Royaume-Uni,,J'ai tout aimé. Toute l'expérience était incroyable,,Septembre 2021,Commentaire envoyé le 26 septembre 2021,newYork
Basma,8.0,Arabie saoudite,,Les décorations Marvel étaient au rendez-vous ! tout aimer,rien,Septembre 2021,Commentaire envoyé le 25 septembre 2021,newYork
Tazsa,10.0,Italie,,"Nous avons vraiment adoré cet établissement, c'était notre tout premier séjour dans un hôtel Disney et cela a dépassé nos attentes. Les chambres étaient belles, l'hôtel était très propre et c'était extrêmement proche de Disneyland, des studios Walt Disney et du village Disney.",,Septembre 2021,Commentaire envoyé le 19 septembre 2021,newYork
Janet,7.0,Royaume-Uni,,"L'emplacement est fantastique et la rénovation très bien faite. Les chambres sont modernes et spacieuses avec des équipements modernes tels qu'un réfrigérateur, des câbles UBS et une bouilloire/cafetière. Lit confortable et chambre calme et grande. Le personnel sympathique. Le concierge très serviable pour organiser un voyage à Versailles. La salle de gym était bien avec une large gamme d'équipements.","La douche avait deux robinets à ouvrir pour mélanger, ce qui était un peu surprenant de nos jours. Un robinet était déjà lâche, ce qui n'augure rien de bon. L'hôtel n'a rouvert qu'il y a moins de 3 mois et la douche ne résiste pas déjà à l'usure. Mais c'était une bonne douche chaude. Le coût est élevé étant donné qu'il ne s'agit que d'une pièce. On paye pour l'emplacement. Le parking était gratuit mais je me demande combien de temps cela durera compte tenu des changements avec le petit-déjeuner et d'autres changements de coûts tels que les Fast Pass. J'ai l'impression que Disney considère ses clients comme des dollars/euros et a oublié le Magic.",Septembre 2021,Commentaire envoyé le 13 septembre 2021,newYork
Al,9.0,Arabie saoudite,,,Entretien ménager,Juillet 2021,Commentaire envoyé le 31 juillet 2021,newYork
Eysa,8.0,États-Unis,,J'ai été étonné néanmoins le ménage a sauté ma chambre et c'était très décevant,"personnel, thème",Juillet 2021,Commentaire envoyé le 26 juillet 2021,newYork
Liam,7.0,Suisse,,"Bel hôtel avec un super thème, le petit déjeuner était incroyable avec beaucoup d'options.",J'ai choisi une chambre avec une terrasse de jardin mais ce n'était pas disponible à l'arrivée. La nourriture du restaurant Manhattan était décevante.,Juillet 2021,Commentaire envoyé le 23 juillet 2021,newYork
Mari,9.0,Finlande,,"Hôtel incroyable, à une courte distance de Disneyland. Toutes les illustrations de Marvel étaient incroyables. Tout était neuf et propre.","Pour le prix de la chambre, il aurait été bien d'inclure le petit déjeuner. Ce n'était pas si facile de combiner mes deux réservations à la réception. J'ai essayé de le faire avant le voyage mais je n'ai pas eu de réponse.",Juillet 2021,Commentaire envoyé le 17 juillet 2021,newYork
Wm,10.0,Allemagne,,"Nous avons vraiment apprécié notre séjour dans cet hôtel. Le personnel nous a traités avec gentillesse et nous avons été ravis que la promenade vers les parcs ne soit pas très loin du tout. Nous sommes une famille aimant Marvel, donc cet endroit était parfait pour nous et nous reviendrions certainement ici lors d'une prochaine visite à Disneyland.",,Juillet 2021,Commentaire envoyé le 10 juillet 2021,newYork
Vince,8.0,Allemagne,,"La musique à thème, la décoration, les activités pour enfants étaient exceptionnelles. Très accommodant pour combiner des chambres et aider avec une demande spéciale pour une chambre au rez-de-chaussée.","Le petit-déjeuner au restaurant Manhattan le 5 juillet 2021 était très décevant avec des œufs en poudre, du bacon brûlé et des toasts froids. La nourriture était servie extrêmement rapidement mais la qualité n'était pas à la hauteur des normes Disney normales et ne justifiait certainement pas ce que vous attendez pour un repas à 35 € l'assiette dans un restaurant 4 étoiles.",Juillet 2021,Commentaire envoyé le 7 juillet 2021,newYork
Nicole,9.0,France,,Tout neuf très proche du parc décoration incroyable personnel incroyable,Restaurants très chers pour une cuisine très moyenne,Juillet 2021,Commentaire envoyé le 4 juillet 2021,newYork
Thufason,5.0,Royaume-Uni,,Pièces,Que les restaurants étaient complets. Qualité du petit déjeuner,Septembre 2022,Commentaire envoyé le 26 septembre 2022,newYork
Alban,1.0,Albanie,,rien,tout,Août 2022,Commentaire envoyé le 4 septembre 2022,newYork
Madeline,6.0,Suisse,,Nous étions à 10 minutes à pied du parc d'attractions. Nous étions contents d'avoir une machine à café et un petit frigo bar dans la chambre. Nous étions contents d'avoir la climatisation dans la chambre.,"L'hôtel était extrêmement cher. Nous pensions qu'il y aurait plus sur les personnages de Marvel, mais il n'y avait que des images. Le bain à remous n'était pas chaud et n'était pas relaxant. La piscine n'était pas graduée et n'avait pas de zone peu profonde pour les jeunes enfants, et était également trop profonde pour que la plupart des adultes puissent s'y promener confortablement. La piscine était assez sale. Beaucoup de caca d'oiseau sur les transats à l'extérieur (et peut-être dans la piscine) et personne autour de nettoyer les choses, semblait-il. Il y avait un bon buffet à volonté à un prix exorbitant au restaurant du centre-ville de l'hôtel. Il y avait un autre restaurant qui s'appelait l'Empire State Lounge, dont on nous a dit qu'il y avait exactement le même buffet disponible exactement au même prix exorbitant - cependant, ce n'était pas vrai. L'Empire State Lounge facturait le même prix mais avait très peu d'articles sur leur buffet. Dernier point, mais non le moindre, la déception du parc Disney. Quelle arnaque!!! Vous devez faire la queue pendant plus d'une heure pour chaque trajet, et dans deux cas, seulement pour vous dire que le trajet a dû être arrêté pour maintenance. Il y avait des milliers et des milliers de personnes dans le parc et aucun contrôle des foules. C'était dangereux. Le parc était également dégoûtant et sale et des ordures partout. Nous n'avons pas vu non plus de personnages Disney, comme vous le voyez en Californie. Je suppose qu'ils ont décidé que l'endroit était trop encombré et infesté de germes pour eux et ont fait la chose sensée et sont restés à l'écart.",Août 2022,Commentaire envoyé le 6 août 2022,newYork
Timo,1.0,Suisse,,"Ne réservez pas cet hôtel sur Booking.com si vous voulez aller au Disney Land. Si vous réservez en réservation, les billets ne sont PAS inclus et vous devez payer environ 120 euros par jour pour un billet. Mais le prix de la chambre est le même que sur leur site internet. C'est un peu une fraude pour moi.","Ne réservez pas cet hôtel sur Booking.com si vous voulez aller au Disney Land. Si vous réservez en réservation, les billets ne sont PAS inclus et vous devez payer environ 120 euros par jour pour un billet. Mais le prix de la chambre est le même que sur leur site internet. C'est un peu une fraude pour moi.",Juillet 2022,Commentaire envoyé le 30 juillet 2022,newYork
David,5.0,Malte,,"La chambre était belle et propre et très proche du parc. Eh bien, c'est ce que j'ai payé après tout !!","Le personnel n'était pas très arrangeant ni serviable. J'ai beaucoup payé pour rester à l'Empire State Club, mais ils ne pouvaient même pas fournir un petit-déjeuner matinal à 7 heures du matin, même si je l'avais réservé 12 heures plus tôt. La vérification était également très longue et inefficace.",Juillet 2022,Commentaire envoyé le 3 juillet 2022,newYork
Suliman,2.0,Qatar,,L'emplacement,Le système de climatisation est très mauvais .. chambre très chaude .. ne pouvait pas dormir !,Juin 2022,Commentaire envoyé le 22 juin 2022,newYork
Mohammad,4.0,Koweït,,L'atmosphère de Marvel,"L'ascenseur était en panne et en maintenance depuis 5 jours, et je dois activer les clés des chambres 3 fois par jour, je dois demander des kits dentaires et des chaussons car il n'y a rien dans la chambre et enfin le restaurant room service n'est que de la nourriture italienne.",Juin 2022,Commentaire envoyé le 14 juin 2022,newYork
Alexandra,5.0,Grèce,,très petite chambre pour une famille,,Juin 2022,Commentaire envoyé le 10 juin 2022,newYork
John,5.0,Royaume-Uni,,"C'est sans doute le meilleur endroit où séjourner pour les enfants. La piscine était assez agréable. La chambre était bonne, sauf à environ un mile de l'entrée / sortie. Rencontrez Spiderman et l'expérience Marvel était excellente, dans l'ensemble, les enfants l'ont noté 100 sur 10, donc pas mal du tout :)","Le prix est ridicule. Vol de jour. Ce n'est qu'une chambre d'hôtel et quelques présentoirs en plastique. Comment diable pouvez-vous justifier 600 livres par nuit ? Payez une nuit, puis éloignez-vous de ces marchands arnaqueurs et ne revenez jamais!",Juin 2022,Commentaire envoyé le 3 juin 2022,newYork
Cristina,3.0,Émirats arabes unis,,L'emplacement est le meilleur atout de cet hôtel,"la valeur pour l'argent que vous payez n'en vaut pas la peine. Le personnel n'est pas très sympathique et l'hôtel est basique en ce qui concerne les cadeaux aux clients. Le minibar est vide, le personnel n'aide même pas avec les bagages, même pas les commodités dans les chambres et ni les dormeurs ni les peignoirs pour descendre à la piscine. Pour un hôtel à 940 euros la nuit, je m'attendrais certainement à beaucoup plus.",Avril 2022,Commentaire envoyé le 8 avril 2022,newYork
Rebecca,1.0,Royaume-Uni,,J'ai beaucoup aimé partir.,"Vers 22 heures, lorsque nous sommes retournés dans notre chambre, il y avait un bruit fort répété qui ressemblait à des chaises traînées. Au départ, nous avons attendu que le son s'arrête pendant environ une demi-heure, puis lorsque nous avons réalisé que cela n'allait pas, nous avons appelé la réception à plusieurs reprises pour décrire le bruit et expliquer que cela empêchait nos enfants de dormir. Au cours de 4 ou 5 appels téléphoniques, le personnel de la réception a déclaré qu'il enverrait quelqu'un pour vérifier le bruit, déclarant à chaque fois que personne n'était encore venu - même si cela faisait plus d'une heure depuis le premier appel. Finalement, à 11h15, mon mari s'est rendu compte que le bruit provenait du restaurant en dessous et continuerait donc pendant des heures. Le bruit a ensuite recommencé à 5h du matin et a continué toute la matinée. Le directeur était extrêmement grossier et a roulé des yeux et m'a interrompu lorsque j'ai essayé d'expliquer ce qui se passait.",Mars 2022,Commentaire envoyé le 14 mars 2022,newYork
George,5.0,Liban,,A deux pas du Parc les chambres sont Nice,"Le personnel du restaurant a besoin d'une formation sérieuse et d'un renforcement du caractère pour s'adapter au niveau de l'hôtel, comme la réception et l'expérience Go Happy Disney. La priorité devrait également être donnée aux clients de l'hôtel dans les restaurants et les réservations. Le menu du service d'étage devrait avoir une plus grande variété !",Février 2022,Commentaire envoyé le 1 mars 2022,newYork
Fwzals,3.0,Koweït,,emplacement et thème pour les enfants,"les chambres étaient sales et le ménage n'est pas régulier. Les ordures n'ont pas été ramassées, les chiffons de nettoyage ont été laissés et les taies d'oreiller étaient tachées. Le porte-serviettes de la salle de bain est tombé sur mes épaules après l'avoir cogné avec la tête.",Février 2022,Commentaire envoyé le 1 mars 2022,newYork
محمد,5.0,Émirats arabes unis,,J'ai aimé la nouvelle rénovation de l'hôtel,"L'heure d'arrivée prévue est censée être à 15 heures, cependant, il s'est enregistré à 17 heures, sans compensation, et le personnel a déclaré que c'était une heure normale pour l'enregistrement.",Février 2022,Commentaire envoyé le 16 février 2022,newYork
Al-sinaidi,4.0,Oman,,Localisation du lieu,"1 - les lits sont tellement inconfortables et ils nous ont donné deux grands lits séparés même s'ils savaient que nous étions en lune de miel, ce qui était si inconfortable et nous n'avons pas pu bien dormir de la nuit. 2- Le système de climatisation est si médiocre. l'air qui venait était si petit ou nul, et ne pouvait pas ouvrir les fenêtres car il n'y avait pas d'ouverture sauf une qui s'ouvre de deux pouces seulement. 3- Le son de la télé était très faible, on n'entendait pas grand chose même quand on mettait le son au max. ils ont mis une limite maximale sur la télévision qui était très basse. Je ne le recommanderais certainement à aucun ami.",Février 2022,Commentaire envoyé le 16 février 2022,newYork
Sarah,2.0,Royaume-Uni,,Emplacement - proche de Disney.,"-45 min pour s'enregistrer -demandé 3 fois d'obtenir un lit bébé que j'avais précédemment demandé par e-mail (ce qu'ils ont confirmé), reçu le lit à 22h, ce qui est inacceptable pour un bébé -pour un hôtel Disney/Marvel, je m'attendais à plus d'attractions merveilleuses , l'hôtel est assez simple dans l'ensemble - boissons 16 euros, sucette glacée 5 euros, petit dessert 10 euros ; la nourriture et les boissons sont globalement très chères! - le lit est très dur",Décembre 2021,Commentaire envoyé le 16 décembre 2021,newYork
Joel,6.0,Irlande,,Super décoration et aspect général de l'hôtel,pas si propre,Décembre 2021,Commentaire envoyé le 2 décembre 2021,newYork
Afa,5.0,Royaume-Uni,,récemment rénové joliment conçu. maison de devant très sympathique et serviable,"s'est vu attribuer une chambre sale, il n'y avait aucune coordination entre le ménage et la réception. les clés de la chambre ont pris des années et quelques allers-retours au travail.",Novembre 2021,Commentaire envoyé le 28 novembre 2021,newYork
Sophie,6.0,Suisse,,Propre et idéalement situé pour les parcs à thème.,"Pour un prix aussi élevé, la cuvette bouchée et la bouteille de shampoing vide n'étaient pas à prévoir.",Novembre 2021,Commentaire envoyé le 26 novembre 2021,newYork
Zoran,1.0,Croatie,,,Le personnel le plus inutile qui s'occupe des réservations provenant de booking.com. Idiot.,Novembre 2021,Commentaire envoyé le 19 novembre 2021,newYork
Edward,6.0,Royaume-Uni,,La salle a manger. Pas une mauvaise taille. Propre et adéquat. Le personnel de la réception était gentil et serviable.,"Les options alimentaires disponibles. Mes enfants mangent un bol de céréales au petit déjeuner et c'est tout. Donc, si je veux qu'ils prennent le petit-déjeuner à l'hôtel, je suis obligé de payer 23 euros pour cela. (chacun) Il n'y a pas d'autre option disponible. Jusqu'à ce que cela change, je ne séjournerai pas dans cet hôtel ou dans un autre hôtel avec la même structure de prix. Le service de chambre a frappé à ma porte 2 heures avant notre heure de départ et nous sommes vraiment ennuyés d'être encore là ! Ils sont ensuite revenus une heure plus tard ! Pour cette raison, je suis resté jusqu'à la dernière minute !",Octobre 2021,Commentaire envoyé le 5 novembre 2021,newYork
Tamara,6.0,Singapour,,Emplacement - à distance de marche du parc à thème Euro Disney,"La chambre (129) était très bruyante et restait éveillée jusque tard dans la nuit. Bien que j'aie contacté la réceptionniste, rien n'a été fait pour le bruit. L'hôtel était très fréquenté et nous n'avons pas pu obtenir de réservation pour le dîner. Certainement pas Covid sûr.",Octobre 2021,Commentaire envoyé le 26 octobre 2021,newYork
