Prenom,Note,Pays,Titre,Positif,Négatif,Date séjour,Date commentaire,hotel
Laëti,10.0,49,genial certes cela est cher mais l'hotel est magnifique,"le personnel disponible, la propreté, le confort",rien,21,Commentaire envoyé le 11 mars 2022,2
Julien,8.0,46,dans l’ensemble magique on retourne dans l’enfance !!,"le petit déjeuner excellent au top ainsi que le goûter super , par contre restaurant Manhattan déçu mauvaise qualité , personnel au top excellent emplacement parfait",restaurant Manhattan déçu nourriture mauvaise qualité et dans la chambre il ni avait pas de brosse pour nettoyer les toilettes …,21,Commentaire envoyé le 11 mars 2022,2
Rosa,10.0,49,Une expérience excellente!,"La thème, l’ambiance et surtout l’accueil du personnel au top!!",Rien. Tout était parfait.,21,Commentaire envoyé le 11 mars 2022,2
Moriaucourt,9.0,49,Au top,"Hôtel très sympathique à deux pas des parcs, confort et luxe sur le thème des super héros. C’est un budget d’y séjourné mais cela reste une expérience exceptionnelle. Castmembers toujours aussi sympa et à l’écoute!",Inconnu,21,Commentaire envoyé le 10 mars 2022,2
Sarah,10.0,79,Mon séjour était au delà de la perfection,"Tout était exceptionnel, un cadre parfait , le petit-déjeuner était excellent , très propre, personnel aux petits soins et d’une grande gentillesse! Nous reviendrons sans aucun doute ! Un réel bonheur !",Inconnu,21,Commentaire envoyé le 10 mars 2022,2
Almu1985,8.0,79,Très bien,"Hôtel moderne . Le personnel est adorable, la nourriture très bonne. La décoration au top pour les fans .",Ça reste un sacré budget .  Nous avions un bruit bizarre qui se repetait dans notre chambre toute les heures.,21,Commentaire envoyé le 10 mars 2022,2
Ludivine,10.0,49,Exceptionnel,Tout,Le tarif des repas,7,Commentaire envoyé le 10 mars 2022,2
Anthony,10.0,49,Exceptionnel,Tout,Le prix pas forcément accessible pour tous !  Un restaurant moins chère / fast food pourrait être sympa et éventuellement un Starbucks .  J'aimerais beaucoup le trônes a thanos pour la super héros station .  Merci,21,Commentaire envoyé le 10 mars 2022,2
Sarah,8.0,49,Super voyage pour les,Le personnel est très agréable et vous avez beaucoup de choix d’activité et de restaurants  Très bien placé par rapport au parc,"Les chambres sont mal insonorisées, pas de peignoir ni chaussons dans la chambre ( a 400€ la nuit c’est le minimum) et pas de lait de corps dans la Salle de bains . En hiver c’est appréciable ces détails",21,Commentaire envoyé le 9 mars 2022,2
Laetitia,9.0,79,Séjour de rêve mais qui se paie !,l emplacement de l hôtel est top Une immersion totale dans le monde de Marvel Les chambres sont belles. La gentillesse du personnel,Les petits déjeuners non compris. Les prix exorbitants,21,Commentaire envoyé le 9 mars 2022,2
Diane,10.0,49,"Très bon séjour, je conseille vivement","la chambre, les restaurants, les bars, la piscine de l'hôtel sont parfait. Un chaleureux accueil, on a pu faire appel à la conciergerie de l'hôtel pour réserver un diner dans l'un des restaurants de l'hôtel","On a juste aperçu sur le rebord de notre fenêtre de chambre des mégots de cigarette a l'extérieur de notre chambre. C'est un peu dommage, car ca gâche l'image de ce super hôtel",7,Commentaire envoyé le 8 mars 2022,2
Christina,10.0,49,Exceptionnel,"chambre, accès au parc à proximité.  Beaucoup de monde Bon rapport qualité prix",Inconnu,21,Commentaire envoyé le 8 mars 2022,2
Horvatade,10.0,49,Exceptionnel,"L'ambiance ultra stylé, les lits méga confortables  tout était parfait! Je reviendrai !",Inconnu,21,Commentaire envoyé le 8 mars 2022,2
Clemence,9.0,49,Je reviendrai mais pour plusieurs nuits la prochaine fois !,"Chaque cast member , membre du personnel au top et à l’écoute. Que ça soit de notre serveuse, au vendeur en boutique Marvel , au concierge, au bagagiste, au room service … ils sont tous super et à l’écoute. Une pensée particulière pour les serveurs au Skyline Bar au top ! et les très bons cocktails des 30 ans.  L’espace dédié aux photos Marvel est au top !  Notre chambre au RDC avec terrasse privative, avec vue sur le Lac au top .","Peut être un manque d’une autre mascotte qui pourrait faire son apparition dans l’hôtel, comme Mickey , figure emblématique de Disney .  Et un manque de coordination au niveau des bracelets (pass sanitaire) à notre retour du parc à l’hôtel vers 20h30 , la Cast Member est seule pour vérifier les pass et les bracelets et donc beaucoup sans bracelet entre dans l’hôtel et passe donc à l’attrape .  Rien a signaler d’autre .",21,Commentaire envoyé le 7 mars 2022,2
Philippart,9.0,79,une hotel exceptionnelle,"hôtel très classe le personnel le personnel est vraiment très à l écoute , le service très rapide j ai vraiment rien à dire à par juste que je le recommande",Inconnu,21,Commentaire envoyé le 7 mars 2022,2
Sammanuinesleo,9.0,79,Fabuleux,"Chambre très agréable, surprenante! Personnel réactif (lit bébé), agréable, déco superbe, activités agréables dans l'hôtel",Manque d'équipement pour bébé à la piscine. Prix du bar et du restaurant dans l'hôtel (petit-déjeuner et dîner) exorbitant !,21,Commentaire envoyé le 7 mars 2022,2
Virginie,8.0,79,Très bien,"Hôtel magnifique, propre, confortable et personnel accueillant","Le repas buffet du soir pas du tout en rapport avec la qualité de l’hôtel. Des plats pas assez raffinés et trop peu de légumes, crudités…",21,Commentaire envoyé le 7 mars 2022,2
Etienne,8.0,49,Très bien,"Personnel, localisation  et restauration  parfaits.","Chambre avec Terrasse demandée mais n'ai jamais vu la terasse. Regulation de la climatisation bloquée donc nuit avec fenêtre ouverte. Dommage, le reste est tout a fait à la hauteur des attentes",21,Commentaire envoyé le 7 mars 2022,2
Eleonore,9.0,49,bien mais peut mieux faire,"la proximité des parcs, le petit plus des photos station",le manque de professionnalisme pour certains casts,21,Commentaire envoyé le 6 mars 2022,2
Cédric,9.0,49,parfait,tout,le restaurant Manhattan,21,Commentaire envoyé le 6 mars 2022,2
Catherine,10.0,49,Excellent séjour,"- Le confort de la chambre  - La propreté  - Le parfum d’ambiance au rez-de-chaussée  - Le repas  - L’ensemble du personnel très agréable ( sécurité, accueil, bar, restaurant )","- La personne à la conciergerie peu souriante, presque désagréable",21,Commentaire envoyé le 6 mars 2022,2
Pascal,8.0,79,agréable sejour,proximité du parc gentillesse du personnel beauté des deco,la literie moyen,21,Commentaire envoyé le 6 mars 2022,2
Willy,8.0,49,Séjour dépaysant et ressourçant !,Petit déjeuner excellent mais un peu cher.  Emplacement idéal et cadre magnifique. Piscine très agréable et bien gérée par l’encadrement.  Personnel parfait! ,"Très déçu par le Sky Line : boissons insipides et pourtant très chères, et, service très long !",22,Commentaire envoyé le 6 mars 2022,2
Corinne,10.0,79,extraordinaire,"tout!!!! les chambres spacieuses et hyper équipées, le petit déjeuner extra…. la piscine l ambiance l odeur qui se diffusent dans le hall",rien,21,Commentaire envoyé le 4 mars 2022,2
Marjorie,10.0,79,un séjour au top!,"le décor, les activités pour les enfants, le personnel",Inconnu,21,Commentaire envoyé le 4 mars 2022,2
Marianne,8.0,79,Très belle hôtel mais manque de magie disney,Très belle hôtel  à thème Bien équipé et très propre,Manque d'animation,21,Commentaire envoyé le 3 mars 2022,2
Aurelie,7.0,49,Séjour agréable avec un bon niveau de confort,"La chambre spacieuse et la vue, la piscine.","Pas de distributeurs, le manque d'informations à notre arrivée sur les services de l hôtel.",21,Commentaire envoyé le 3 mars 2022,2
Emilie,10.0,49,Exceptionnel,Hôtel sublime me langui déj d'y retourner .,Inconnu,22,Commentaire envoyé le 3 mars 2022,2
Gwenael,10.0,49,Un moment inoubliable en famille,Tout,Rien,21,Commentaire envoyé le 3 mars 2022,2
Stéphanie,9.0,49,Fabuleux,"La décoration permet vraiment une immersion dans l'univers Marvel. On a adoré. Le personnel est d'une gentillesse et d'une disponibilité incroyable. Ça participe vraiment au séjour d'une façon très favorable. Seul regret, le hammam et le sauna indisponibles lors de notre passage.",Les toilettes sans porte dans la salle de bain.,22,Commentaire envoyé le 1 mars 2022,2
Helene,10.0,49,merveilleux,le confort les équipements la proximité des parcs … tout était parfait !,Inconnu,22,Commentaire envoyé le 1 mars 2022,2
Virginie,7.0,79,Bien,"le room service, la literie, l’emplacement de l’hôtel. l’ambiance.",Le fait de n’avoir pas reçu le mail et l’sms pour recevoir mon numéro de chambre. on a du y aller nous mémé et le pompom arriver dans une chambre pas faite et que la réception nous dise qu’elle l’est. er avoir confirmation avec le room service. changement de chambre tard le soir mais ça ne peux pas arriver dans un hôtel de ce standing. une plainte est en cours,7,Commentaire envoyé le 28 février 2022,2
Ophélie,10.0,49,classe et magique,le standing est incroyable,Inconnu,22,Commentaire envoyé le 25 février 2022,2
Emilie,7.0,49,Peu mieux faire,"Le décor et l'emplacement La piscine avec le jacuzzi avec des créneaux de réservation de 15 min, la propreté Gain de temps pour le séjour avec le process de bracelets pour les pass sanitaires.","Le manque de prestation pour un 4* L'eau (bouteille à disposition) n'a pas été renouvelé pendant notre séjour, ni les savons et set de toilette. Le poussoir du shampoing été cassé à l'arrivée, on a demandé 3 fois pour le changer, rien n'a été fait.  Ce sont des petits détails mais vu le prix du séjour en période de vacances, rien ne devrait être à redire. Salle de bain, un peu étroite.",22,Commentaire envoyé le 25 février 2022,2
Josiane,8.0,49,Très bien,situation géographique  et services excellents,tarif petit déjeuner trop cher pour enfants en bas âge,22,Commentaire envoyé le 23 février 2022,2
Jean,10.0,49,Excellent moment,Très bon,Rien,22,Commentaire envoyé le 23 février 2022,2
Stephanie,8.0,49,Très bien,"Hôtel magnifique, chambre spacieuse et lit très confortable. Personnel très gentil et serviable.",Nous avons été réveillé à 6h15 par un membre du personnel qui a frappé 2 fois à la porte et à ouvert notre porte.,22,Commentaire envoyé le 22 février 2022,2
Fabienne,10.0,79,rien a dire tout parfait,tout,rien,7,Commentaire envoyé le 21 février 2022,2
Florence,10.0,49,Parfait,"L’établissement est parfait, décors au top sur le thème Marvel. personnel accueillant",Le petit-déjeuner qui n’est pas compris et qui est beaucoup trop cher vue ce qu’ils proposent,22,Commentaire envoyé le 21 février 2022,2
Alexis,10.0,49,Exceptionnel,La gentillesse du personnel. Déco refaite. tout est neuf.,Inconnu,22,Commentaire envoyé le 20 février 2022,2
Hyl,10.0,49,super agréable,tout,cocktail chère,22,Commentaire envoyé le 17 février 2022,2
Flavien,10.0,49,Hôtel au top en chambre empire,"La proximité du village, le service au top des chambres empire, le personnel au petits soins pour les clients chambre empire.","Le tarif un peu élevé, bien que les services sont à la hauteur.",22,Commentaire envoyé le 17 février 2022,2
Pauline,7.0,49,Bien,l’emplacement et la décoration sont les vrais plus de cet établissement,j’avais une chambre communicante par une porte  et mes voisins d’a coté faisait énormément de bruit de plus j’ai retrouvé pas mal de cheveux dans la salle de bain à mon arrivée ce qui n’est pas super agréable,22,Commentaire envoyé le 17 février 2022,2
Julie,10.0,49,Exceptionnel,"La piscine et les activités proposées ( kid's club, la Disney hero station ..)",Rien,22,Commentaire envoyé le 16 février 2022,2
Plancq,10.0,49,exceptionnel,qualité de l’hôtel,Inconnu,22,Commentaire envoyé le 16 février 2022,2
Laurence,10.0,49,la magie de Disney au cœur de New York,hôtel très confortable et bien rénové sur le thème Marvel. super literie et repas au Downtown restaurant exceptionnel,rien,22,Commentaire envoyé le 16 février 2022,2
Morgan,10.0,49,Exceptionnel,"Magnifique rénovation, de superbes œuvres d’art  et la proximité avec les parcs",Inconnu,22,Commentaire envoyé le 16 février 2022,2
Federico,9.0,79,séjour au top,tout y est magnifique la déco les installations,la proximité avec les parcs,22,Commentaire envoyé le 15 février 2022,2
Julie,10.0,49,Magique,"La déco, les accessoires multimédia. Le design des lampes, la vue sur les statues marvel. La carte d'anniversaire écrite à la main. Le personnel disponible et très accueillant.",Il manquait une brosse pour WC et des cuillères pour le café.,22,Commentaire envoyé le 13 février 2022,2
Sonia,10.0,49,au top,tout rien à dire,Inconnu,22,Commentaire envoyé le 13 février 2022,2
Annie,10.0,49,excellente fin de semaine,L'extrême qualité d'accueil et l'amabilité du personnel.  Le mobilier et les lustres de designer. Chambre très confortable et insonorisée piscine très bien organisée,difficulté à trouver une place de parking,22,Commentaire envoyé le 13 février 2022,2
Florence,10.0,49,Parfait ont a adoré notre séjour,"Tout était parfait hôtel, le personnel, propreté de la chambre et de l’établissement. Le restaurant parfait très bon",Inconnu,22,Commentaire envoyé le 13 février 2022,2
Hoenig,10.0,49,Excellent séjour dans son ensemble,"L accueil des cast members, la gentillesse du personnel, la décoration de la chambre, la qualité du petit déjeuner, les peignoirs et chaussons pour la piscine.",Les clients de la chambre au dessus de la nôtre étaient très bruyants. Il faudrait mieux insonoriser les chambres. Nous avons eu un petit souci avec l écoulement de l’eau dans le lavabo qui a par contre été vite résolu par votre service d entretien.,22,Commentaire envoyé le 12 février 2022,2
Zelda,10.0,49,c'est toujours tellement bien que c'est trop court!,"le décor de l'hôtel, le parfum d'ambiance, la chambre est splendide, l'accueil est impeccable. la proximité de l'hotel, tout etait parfait, nous avons passé un formidable séjour dans cet hotel, hâte de revenir !!!!",tout était parfait,22,Commentaire envoyé le 12 février 2022,2
Sandrine,9.0,49,Fabuleux,"L'hôtel est magnifique ,très propre et le personnel très agréable.",La machine à café de la chambre d'à côté qui résonne énormément surtout en pleine nuit ce qui m'a réveillé plusieurs fois.,22,Commentaire envoyé le 12 février 2022,2
Justine,10.0,49,Fantastique,"Le thème, la boutique, la décoration",RAS,22,Commentaire envoyé le 11 février 2022,2
Bruno,8.0,79,Très bel hôtel pour les fans de Marvel....et les autres !,"Superbe hotel parfaitement dans le thème Marvel. Chambre calme et confortable et bien équipée, surtout au niveau TV et multimedia . Piscine agréable et couverte. Hall impressionnant, belle boutique, bars agréables",Machine à café en panne dans la chambre. Piscine pas adaptée aux enfants (profondeur unique de 1m60),22,Commentaire envoyé le 11 février 2022,2
Stephanie,10.0,79,super séjour dans un des meilleurs hôtels Disney,"design, personnel super sympa",les lits sont d une petite largeur. propreté pas top,22,Commentaire envoyé le 9 février 2022,2
Stéphanie,10.0,49,un séjour inoubliable et magique pour les enfants,"la decoration, on est vraiment imprégné par l’univers Marvel, le confort des chambres, la vue sur le lac,le personnel à l’écoute, d’une grande gentillesse et toujours souriant ….",Inconnu,22,Commentaire envoyé le 9 février 2022,2
Collas,10.0,49,parfait ,tout,rien,22,Commentaire envoyé le 8 février 2022,2
Florence,8.0,79,Très bien,"L’ambiance, la déco, la piscine",Les lits étaient un peu petits pour des lits doubles Les prix du bar étaient beaucoup trop élevés,22,Commentaire envoyé le 8 février 2022,2
Jessika5177,8.0,49,Communication,L architecture l art de l hôtel Le service est correct  dans l ensemble   Une superbe vue sur le lac  Des peignoirs a disposition pour la piscine,Qu'un membre du personnel nous prennes pour des imbéciles .  Que cette personne nous vende un service qui n'est pas le même que nos attente .  Il fait trop chaud dans la chambre la nuit.,22,Commentaire envoyé le 7 février 2022,2
Nada,10.0,49,Magnifique,Tout est parfait dans cette hôtel,La vue de chambre sur le parking,22,Commentaire envoyé le 7 février 2022,2
Spawns7,10.0,49,Exceptionnel,"Les décors de l'hôtel, les tableaux, les activités qu'on peut faire là bas.",Inconnu,22,Commentaire envoyé le 7 février 2022,2
Fabrice,10.0,49,génial.,proximité du parc déco superbe,les restaurants pris d’assaut et difficiles à réserver.,7,Commentaire envoyé le 6 février 2022,2
Toromy,10.0,49,Exceptionnel,Tout,Inconnu,22,Commentaire envoyé le 6 février 2022,2
Delphine,8.0,49,La féerie du parc se prolonge jusque dans notre chambre dommage que le pdj ne soit pas à la hauteur,"Tout est pensé pour nous embarquer dans l expérience Marvel. Le magic pass, notre serveur super hero du service , chambre très confortable, plein de gadgets avec le nom de l hôtel , personnel vraiment top , à qq pas du parc","Le petit déjeuner 56€  à 2 !!! Pour qq viennoiseries et corne flakes, une tranche de jambon et des œufs brouillés… Offre trop simpliste, digne d un 2 étoiles … Tres cher , trop cher par rapport au reste des prestations.",22,Commentaire envoyé le 6 février 2022,2
Arthur,9.0,79,HÉROÏQUE !,"Petit déjeuner exceptionnel comme le nom l’indique… Comme à New-York. Étant un habitué des parcs Disneyland Paris et de leurs hôtels je fus surpris de l’accueil irréprochable,la gentillesse et l’écoute des Cast Member. Ils vous donneront pleins d’anecdotes sur l’hôtel ainsi que les peintures/éléments de décorations présents. La Super Hero Station que dire … HÉROÏQUE !!! N’étant pas fan de ces points locations photos j’ai été très surpris de la qualité de ces spots ainsi que de la rencontre avec Spider Man qui sera un souvenir mémorable. Réellement impressionnant et la qualité du Cast fut stupéfiante ! Bravo et bonne continuation à tout les Cast Members du Disney Hotel New York : The Art Of Marvel.","Peut-être un meilleur accueil pour le Downtown Restaurant,un peu plus agréable,souriant et à l’écoute de ses clients/visiteurs.",22,Commentaire envoyé le 6 février 2022,2
Jean,10.0,49,très bien passer je recommande cet hôtel,l’établissement est superbe de très grande classe,j’ai tout apprécié,22,Commentaire envoyé le 4 février 2022,2
Virginie,10.0,49,Super séjour un hôtel au top  le meilleur de disney,Un hôtel parfait . Les cast member très impliqués pour  que tout se passe bien vraiment aux petits soins de la réception au petit déjeuner aux personnels de service tout le monde est très aimable restaurant   top le bar skyline super agréable avec une deco de fou  La chambre très très agréable literie de qualité  le petit déjeuner parfait repas en qualité et quantité parfaite  Un hôtel super futuriste high-tech au top et les fans de Marvel vont se régaler bcp de détails meme sur le savon des chambres partout vous allez adorez une galerie art marvel magnifique ,Inconnu,22,Commentaire envoyé le 4 février 2022,2
Pauline,9.0,79,Incroyable ! Je reviendrai c'est sur,"Chambre très belle et spacieuse. Le déjeuner était très copieux et diversifié, ça valait le prix ! Service clientèle excellent, le personnel est à votre écoute, sympa et font le maximum pour votre confort !",Inconnu,7,Commentaire envoyé le 3 février 2022,2
Kenny,9.0,49,Top mais a ce tarif c'est un minimum,"L'immersion total dans le monde de Marvel. C'était génial pour notre fils mais aussi pour nous qui sommes fans de l'univers.  L’équipement de la chambre est très sympas. Un poil plus de l’univers Marvel serait cool.  Les boutiques sont bien faites et donne envie de repartir avec tout.  Les activités photos sont super appréciable pour les enfants. Nous avons aussi beaucoup aimé la possibilité des cours de dessins, super idée. Nous avons manqué de temps mais top.","300 Euro la chambre et même pas le petit déjeuner offert, je trouve cela vraiment petit. Nous venons a Disney, ok il faut payer. Ok la chambre est chère mais les prestations et la proximité sont cool en revanche même avec cela le fait de ne pas mettre ne serait-ce qu'un minimum est vraiment mesquin.  38Euro le continental même pour vous c'est trop. Nous ne sommes pas Buisinesman. Une offre simple avec juste un croisant ou une omelette serait bien. Nous avons aussi dépensé pas mal dans les boutiques, et les sacs pourrait être personnalisé a l’hôtel.",7,Commentaire envoyé le 3 février 2022,2
Monge,10.0,49,Exceptionnel,"Tout était super,très belle et grande chambre,propreté impeccable.personnel au top.",Rien,22,Commentaire envoyé le 3 février 2022,2
Nancy,10.0,49,exceptionnel,une déco au top un personnel super  une hygiène parfaite,Inconnu,22,Commentaire envoyé le 2 février 2022,2
Amandine,8.0,79,Très bien,Décoration au top. Du rêve à chaque tournant pour les enfants! Chambres très confortables,"Pas de chambres communicantes en étant 2 adultes et 3 enfants parce que booking ne passerait pas la demande, c'était très peu pratique.",7,Commentaire envoyé le 1 février 2022,2
Elodie,8.0,79,Très bien,"très beau , propre et confortable",chambre pas super isolé … nous n arrivions pas à dormir car les voisin de chambre parlais trop fort …,7,Commentaire envoyé le 31 janvier 2022,2
Fabienne,9.0,79,Séjour magique.,"Hôtel au top. Personnel hyper attentif, nourriture excellente. Mes ados étaient enchantés.",Inconnu,7,Commentaire envoyé le 30 janvier 2022,2
Alexandre,10.0,49,Haut !!!,Tout,Rien,7,Commentaire envoyé le 30 janvier 2022,2
Cedric,9.0,79,Fabuleux,"Hôtel rénové avec goût sur le thème de Marvel. Les chambres sont très spacieuses, disposent de 2 grands lits, d un grand écran à la pointe de la technologie, très belle salle de bain. Bonne insonorisation. Le personnel est sympathique, à l écoute et essaie de satisfaire au mieux les clients. Le skyline bar est top! L hôtel est à 10 minutes à pied de l entrée du parc Disney.",Tout était parfait !,7,Commentaire envoyé le 30 janvier 2022,2
Mina,10.0,49,THE BEST pour les fans d’avengers!!,"très bel hôtel avec une décoration raffinée. les fans de super héros seront seront époustouflés!  le personnel est très serviable et agréable. l’hôtel est idéalement situé à 8 minutes à pied du parc.  les chambres sont propres et spacieuses. bien équipée ( produits d’hygiènes, machine à café dosette Lavazza, fer à repasser …)",Inconnu,7,Commentaire envoyé le 29 janvier 2022,2
Juliette,10.0,7,Hôtel parfait !,"chambre très confortable, établissement très bien insonorisé. les lits sont très confortables, chambres bien chauffées. personnel extrêmement serviable, gentil et accueillant. nous n'avons pas mangé dans cet hotel, le prix du petit déjeuner étant élevé. nous avons mangé à Disney Village.",rien. tout est super.,7,Commentaire envoyé le 29 janvier 2022,2
Coralie,8.0,49,Très bien,Inconnu,- Lavabo de salle de bain bouché - Manque de goodies Marvel dans la chambre versus le pris de la chambre,7,Commentaire envoyé le 28 janvier 2022,2
Roxane,9.0,49,excellent pour les familles,"Hôtel qui respect parfaitement son theme. Personnel très agréable, toujours disponible pour répondre à vos question. Très accueillant envers les enfants .",première étage Bruyant(musique de fond),7,Commentaire envoyé le 28 janvier 2022,2
Laurence,8.0,79,Très bien,Inconnu,"Le prix du restaurant buffet de l hôtel trop élevé pour le type de nourriture, le choix et sans les boissons",7,Commentaire envoyé le 28 janvier 2022,2
Wen,10.0,49,Exceptionnel,chambre,Inconnu,7,Commentaire envoyé le 28 janvier 2022,2
Zakaria,10.0,49,Expérience absolue,"Absolument tout ! L'hôtel est parfait ! Magnifique, neuf, la deco est dingue.. Pour peu que vous soyez  fan de l'univers Marvel, vous serez aux anges ! Ke recommande à 200%",Inconnu,7,Commentaire envoyé le 27 janvier 2022,2
Manuel,10.0,49,Exceptionnel,"L ensemble de l hôtel est vraiment génial, une référence dans les hôtels disney.",Inconnu,7,Commentaire envoyé le 26 janvier 2022,2
Vivipast,9.0,49,Fabuleux,Très bon déjeuné en chambre  La Chambre était très grande avec une belle vue sur le lac,Inconnu,15,Commentaire envoyé le 26 janvier 2022,2
Sophie,8.0,49,revoir l’entretien de la chambre mais au top sinon,"magnifique hôtel personnel au top, photo avec spider man au top.",dommage il avais pas mal d’un perfection au niveau du nettoyage de la chambre…,7,Commentaire envoyé le 25 janvier 2022,2
Thomas,10.0,49,"Promesse tenue, immersion dans le monde de Marvel, avec tout le confort et le standing attendu.","tout ! décor, standing, personnel, équipement, disponibilité.","Tarif room service, bar et petit déjeuner.",7,Commentaire envoyé le 25 janvier 2022,2
Cyrille,9.0,49,Fabuleux,"La gentillesse du personnel ,  les décors somptueux  , la chambre super grande",Lit pas très confortable,7,Commentaire envoyé le 24 janvier 2022,2
Laurie,9.0,49,Excellent,Le personnel vraiment aux petits soins souriant très attentif au client rien à redire le Petit déjeuner formidable excellent hôtel mérite une autre étoile ,Plus de cosmétiques de toilette,7,Commentaire envoyé le 24 janvier 2022,2
Nadia,8.0,49,sans plus,"l’emplacement , la propreté , la gentillesse du personnel",a mon sens l’univers Marvel n’est pas assez représenté c’est très léger mise à part les tableaux au mur et deux trois détails pour ma fille de 6 ans complément fan de Spiderman bof… nous avons été un peu déçu. nous avons demandé une bouteille d’eau supplémentaire dans la chambre le prix 7€ + les frais de service … je trouve ça très limite surtout quand la nuit coûte 300€.,7,Commentaire envoyé le 23 janvier 2022,2
Anne-laure,8.0,49,Très bien,La décoration de l'hôtel est tout simplement magnifique et le personnel vraiment agréable. La magie Disney opère définitivement.,"Bémol sur l'absence de peignoirs et de chaussons afin de se rendre à la piscine. Seules les suites en sont munies d'après la personne en charge de la distribution des serviettes à la piscine....Le tarif des chambres supérieures ne justifie manifestement pas ces accessoires, c'est quelque peu vexant :-(",7,Commentaire envoyé le 23 janvier 2022,2
Arnaud,9.0,49,très bon séjour,"personnel très très gentil et professionnel !!  l’hôtel est très beau , les chambres sont confortables ….  petit déjeuner au top ","a part les prix un peu élevés, et quelques détails dans les chambres à revoir… sinon ca va",7,Commentaire envoyé le 22 janvier 2022,2
Jessie,10.0,49,Un Séjour magiique et Héroïque,Absolument tout !  Certes le prix peu paraître élevé mais le service apporté est au dessus de tout ! Nous y retournerons avec plaisirs !,Rien tout était génial,7,Commentaire envoyé le 20 janvier 2022,2
Florent,9.0,49,Un  agréable séjour que j'espère renouveler prochainement,"La déco contemporaine soignée, la literie très confortable, l'équipement moderne de la chambre, la qualité du linge de toilette, un personnel accueillant et aimable (réception, bar ou service baguages)",Inconnu,7,Commentaire envoyé le 19 janvier 2022,2
Jean-christophe,7.0,49,Bien,Inconnu,Douche en mauvais etat,15,Commentaire envoyé le 19 janvier 2022,2
Thomas,7.0,79,"La magie de Disney est toujours présente, malheureusement elle aura lieu moins souvent vu les prix..","décoration, sympathie du personnel, chambre moderne et spacieuse, chambre bien insonorisée malgré le monde","propreté de la chambre pas au top, le niveau qualité / prix (c’est les prix Disney vous me direz , mais je trouve que ça commence vraiment à être abusé..)",7,Commentaire envoyé le 17 janvier 2022,2
Huguette,9.0,49,Week-end féerique,"L activités proposées pour les enfants par l hôtel prendre des photos,les personnel juste au top souriant accueillant",Pas beaucoup de personnages marvel pour les photos avec les enfants c est dommage,7,Commentaire envoyé le 16 janvier 2022,2
Sylvie,9.0,79,Magnifique !,"la proximité du parc,la propreté,le design,la chambre. C était parfait ! le personnel aux petits soins . Et aussi,l isolation des chambres est impeccable,pas de bruits des voisins ni du couloir.","le prix des boissons au bar.  C est assez élevé par rapport à ce que l on a dans le verre. Et petit bémol aussi au petit déjeuner,pas de baguettes. Dommage,pour un hôtel français.",7,Commentaire envoyé le 16 janvier 2022,2
Gonzalez,9.0,49,Fabuleux,"Hôtel magnifique qui ravira les fans Marvel. Des détails sont cachés un peu partout. L'hôtel en lui-même est un musée consacré aux super-héros Marvel avec plus de 350 œuvres exposées un peu partout. La chambre était moderne et spacieuse, le personnel était tout simplement adorable et parfait. Toujours le sourire, prêt à discuter, aimable et patient, ils ont clairement contribué à la magie du séjour.","La chambre était mal isolée, j'entendais mes voisins de chambre parler comme si ils étaient avec moi.",7,Commentaire envoyé le 16 janvier 2022,2
Cindysherifa,10.0,79,Beau sejour,Petite attention pour l anniversaire de ma fille petite carte signee par le personnel,Un.peu cher,7,Commentaire envoyé le 16 janvier 2022,2
Jerome,9.0,79,"séjour agréable, confortable et accueillant","la propreté, l’amabilité du personnel. le lieu magique  la beauté de l’hôtel. les équipements dans la chambre",le prix ,7,Commentaire envoyé le 15 janvier 2022,2
Julie,10.0,49,séjour parfait ! je reviendrais vite,le décor est somptueux,Inconnu,7,Commentaire envoyé le 14 janvier 2022,2
Pascale,9.0,79,un merveilleux moment en famille,tout,rien!!,15,Commentaire envoyé le 12 janvier 2022,2
Francois,9.0,79,super les enfants ont adoré et les grands aussi,"la piscine, la station héros, les cafés dans la chambres, le bar, le personnel très gentil",les prix des repas et boissons sont excessifs,7,Commentaire envoyé le 11 janvier 2022,2
Samuel,10.0,79,"Séjour magnifique, à refaire.","Superbe hôtel magnifiquement rénové, tout est impéccable que ce soit le service comme le personnel. Le cadre et les décorations sont ce à quoi l'ont s'attendait. Les chambres sont très propres et très belles, le bar impeccable avec coktails et le restaurant ""Manathan"" sert une cuisine très bonne et en quantité suffisante. Séjour magnifique.","Le seul petit bémol serait peut-être le prix de la nuit, même si l'hôtel est magnifique et d'un très bon standing, pour ceux qui ont un pass annuel comme nous, il est nécessaire de passer par Booking afin de pouvoir profiter de cette magie.",7,Commentaire envoyé le 11 janvier 2022,2
Mike,8.0,49,bien,le modernisme,chambre brouillante toute la soirée ainsi qu’une bonne partie de la nuit,7,Commentaire envoyé le 10 janvier 2022,2
Audrey,9.0,49,magique,"son odeur , les animations , le décor , la piscine ,",Inconnu,15,Commentaire envoyé le 9 janvier 2022,2
Pierre-henri,8.0,49,super séjour,chambre  situation géographique facilities,rien,7,Commentaire envoyé le 9 janvier 2022,2
